"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.29.230.57","192.44.75.10","DNS","90","Standard query 0xe054 A donate.v2.xmrig.com OPT"
"2","0.000012535","10.29.230.57","192.44.75.10","DNS","90","Standard query 0xe74b AAAA donate.v2.xmrig.com OPT"
"3","0.000914324","192.44.75.10","10.29.230.57","DNS","438","Standard query response 0xe054 A donate.v2.xmrig.com A 178.128.242.134 A 199.247.27.41 NS duke.ns.cloudflare.com NS miki.ns.cloudflare.com A 172.64.33.110 A 173.245.59.110 A 108.162.193.110 A 173.245.58.202 A 108.162.192.202 A 172.64.32.202 AAAA 2803:f800:50::6ca2:c16e AAAA 2a06:98c1:50::ac40:216e AAAA 2606:4700:58::adf5:3b6e AAAA 2a06:98c1:50::ac40:20ca AAAA 2606:4700:50::adf5:3aca AAAA 2803:f800:50::6ca2:c0ca OPT"
"4","0.000914415","192.44.75.10","10.29.230.57","DNS","149","Standard query response 0xe74b AAAA donate.v2.xmrig.com SOA duke.ns.cloudflare.com OPT"
"5","0.001113044","10.29.230.57","178.128.242.134","TCP","74","51316  >  3333 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3933232101 TSecr=0 WS=128"
"6","0.028107187","178.128.242.134","10.29.230.57","TCP","74","3333  >  51316 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=3996339853 TSecr=3933232101 WS=128"
"7","0.028166716","10.29.230.57","178.128.242.134","TCP","66","51316  >  3333 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3933232128 TSecr=3996339853"
"8","0.028289354","10.29.230.57","178.128.242.134","TCP","535","51316  >  3333 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=469 TSval=3933232128 TSecr=3996339853"
"9","0.055760517","178.128.242.134","10.29.230.57","TCP","66","3333  >  51316 [ACK] Seq=1 Ack=470 Win=64128 Len=0 TSval=3996339900 TSecr=3933232128"
"10","0.056242336","178.128.242.134","10.29.230.57","TCP","554","3333  >  51316 [PSH, ACK] Seq=1 Ack=470 Win=64128 Len=488 TSval=3996339901 TSecr=3933232128"
"11","0.056276474","10.29.230.57","178.128.242.134","TCP","66","51316  >  3333 [ACK] Seq=470 Ack=489 Win=63872 Len=0 TSval=3933232156 TSecr=3996339901"
"12","9.108009331","10.29.230.57","34.120.208.123","TLSv1.2","112","Application Data"
"13","9.108210171","10.29.230.57","34.120.208.123","TLSv1.2","97","Encrypted Alert"
"14","9.108225106","10.29.230.57","34.120.208.123","TCP","66","58300  >  443 [FIN, ACK] Seq=78 Ack=1 Win=501 Len=0 TSval=3272091621 TSecr=2156907261"
"15","9.121668526","34.120.208.123","10.29.230.57","TCP","66","443  >  58300 [ACK] Seq=1 Ack=79 Win=622 Len=0 TSval=2156960241 TSecr=3272091620"
"16","9.121668767","34.120.208.123","10.29.230.57","TCP","66","443  >  58300 [FIN, ACK] Seq=1 Ack=79 Win=622 Len=0 TSval=2156960241 TSecr=3272091620"
