"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.29.230.57","192.44.75.10","DNS","90","Standard query 0xf365 A donate.v2.xmrig.com OPT"
"2","0.000013356","10.29.230.57","192.44.75.10","DNS","90","Standard query 0x126a AAAA donate.v2.xmrig.com OPT"
"3","0.000795896","192.44.75.10","10.29.230.57","DNS","149","Standard query response 0x126a AAAA donate.v2.xmrig.com SOA duke.ns.cloudflare.com OPT"
"4","0.021920945","192.44.75.10","10.29.230.57","DNS","438","Standard query response 0xf365 A donate.v2.xmrig.com A 178.128.242.134 A 199.247.27.41 NS duke.ns.cloudflare.com NS miki.ns.cloudflare.com A 172.64.33.110 A 173.245.59.110 A 108.162.193.110 A 108.162.192.202 A 172.64.32.202 A 173.245.58.202 AAAA 2803:f800:50::6ca2:c16e AAAA 2a06:98c1:50::ac40:216e AAAA 2606:4700:58::adf5:3b6e AAAA 2606:4700:50::adf5:3aca AAAA 2803:f800:50::6ca2:c0ca AAAA 2a06:98c1:50::ac40:20ca OPT"
"5","0.022446200","10.29.230.57","199.247.27.41","TCP","74","39680  >  3333 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3611878840 TSecr=0 WS=128"
"6","0.050688003","199.247.27.41","10.29.230.57","TCP","74","3333  >  39680 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2982621538 TSecr=3611878840 WS=128"
"7","0.050776799","10.29.230.57","199.247.27.41","TCP","66","39680  >  3333 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3611878869 TSecr=2982621538"
"8","0.050961480","10.29.230.57","199.247.27.41","TCP","535","39680  >  3333 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=469 TSval=3611878869 TSecr=2982621538"
"9","0.079128715","199.247.27.41","10.29.230.57","TCP","66","3333  >  39680 [ACK] Seq=1 Ack=470 Win=64768 Len=0 TSval=2982621566 TSecr=3611878869"
"10","0.079129322","199.247.27.41","10.29.230.57","TCP","554","3333  >  39680 [PSH, ACK] Seq=1 Ack=470 Win=64768 Len=488 TSval=2982621567 TSecr=3611878869"
"11","0.079196892","10.29.230.57","199.247.27.41","TCP","66","39680  >  3333 [ACK] Seq=470 Ack=489 Win=64128 Len=0 TSval=3611878897 TSecr=2982621567"
"12","61.024233322","10.29.230.57","199.247.27.41","TCP","148","39680  >  3333 [PSH, ACK] Seq=470 Ack=489 Win=64128 Len=82 TSval=3611939842 TSecr=2982621567"
"13","61.052067711","199.247.27.41","10.29.230.57","TCP","66","3333  >  39680 [ACK] Seq=489 Ack=552 Win=64768 Len=0 TSval=2982682540 TSecr=3611939842"
