"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.29.230.57","93.184.220.29","TCP","66","56012  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=4000988426 TSecr=1295947176"
"2","0.013549475","93.184.220.29","10.29.230.57","TCP","66","[TCP ACKed unseen segment] 80  >  56012 [ACK] Seq=1 Ack=2 Win=131 Len=0 TSval=1295957416 TSecr=4000957973"
"3","1.791998900","10.29.230.57","93.184.220.29","TCP","66","55998  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=4000990218 TSecr=3316964860"
"4","1.805424633","93.184.220.29","10.29.230.57","TCP","66","[TCP ACKed unseen segment] 80  >  55998 [ACK] Seq=1 Ack=2 Win=139 Len=0 TSval=3316975100 TSecr=4000969744"
"5","2.559999536","10.29.230.57","34.107.221.82","TCP","66","39852  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=786111567 TSecr=2521871091"
"6","2.560036644","10.29.230.57","34.107.221.82","TCP","66","39854  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=786111567 TSecr=4052901429"
"7","2.573583908","34.107.221.82","10.29.230.57","TCP","66","[TCP ACKed unseen segment] 80  >  39854 [ACK] Seq=1 Ack=2 Win=265 Len=0 TSval=4052911669 TSecr=786070710"
"8","2.573801526","34.107.221.82","10.29.230.57","TCP","66","[TCP ACKed unseen segment] 80  >  39852 [ACK] Seq=1 Ack=2 Win=265 Len=0 TSval=2521881332 TSecr=786070690"
"9","4.864041836","10.29.230.57","23.200.86.233","TCP","66","34656  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=3247717229 TSecr=3735851766"
"10","4.877819875","23.200.86.233","10.29.230.57","TCP","66","[TCP ACKed unseen segment] 80  >  34656 [ACK] Seq=1 Ack=2 Win=506 Len=0 TSval=3735862005 TSecr=3247614863"
"11","6.399931474","10.29.230.57","216.58.215.35","TCP","66","40316  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=190026287 TSecr=3676060854"
"12","6.413462183","216.58.215.35","10.29.230.57","TCP","66","[TCP ACKed unseen segment] 80  >  40316 [ACK] Seq=1 Ack=2 Win=261 Len=0 TSval=3676071093 TSecr=189923939"
"13","7.219542988","10.29.230.57","104.21.61.81","TLSv1.2","105","Application Data"
"14","7.240038075","104.21.61.81","10.29.230.57","TCP","66","443  >  53660 [ACK] Seq=1 Ack=40 Win=8 Len=0 TSval=1637750361 TSecr=3759002192"
"15","7.240038674","104.21.61.81","10.29.230.57","TLSv1.2","105","Application Data"
"16","7.240102839","10.29.230.57","104.21.61.81","TCP","66","53660  >  443 [ACK] Seq=40 Ack=40 Win=1234 Len=0 TSval=3759002212 TSecr=1637750361"
"17","10.244017826","10.29.230.57","93.184.220.29","TCP","66","[TCP Dup ACK 1#1] 56012  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=4000998670 TSecr=1295957416"
"18","10.257719333","93.184.220.29","10.29.230.57","TCP","66","[TCP Dup ACK 2#1] 80  >  56012 [ACK] Seq=1 Ack=2 Win=131 Len=0 TSval=1295967660 TSecr=4000957973"
"19","12.032156466","10.29.230.57","93.184.220.29","TCP","66","[TCP Dup ACK 3#1] 55998  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=4001000458 TSecr=3316975100"
"20","12.045877653","93.184.220.29","10.29.230.57","TCP","66","[TCP Dup ACK 4#1] 80  >  55998 [ACK] Seq=1 Ack=2 Win=139 Len=0 TSval=3316985340 TSecr=4000969744"
"21","12.732057840","10.29.230.57","192.44.75.10","DNS","90","Standard query 0xda75 A donate.v2.xmrig.com OPT"
"22","12.732072607","10.29.230.57","192.44.75.10","DNS","90","Standard query 0xae78 AAAA donate.v2.xmrig.com OPT"
"23","12.753723028","192.44.75.10","10.29.230.57","DNS","149","Standard query response 0xae78 AAAA donate.v2.xmrig.com SOA duke.ns.cloudflare.com OPT"
"24","12.753963221","192.44.75.10","10.29.230.57","DNS","438","Standard query response 0xda75 A donate.v2.xmrig.com A 178.128.242.134 A 199.247.27.41 NS miki.ns.cloudflare.com NS duke.ns.cloudflare.com A 172.64.33.110 A 173.245.59.110 A 108.162.193.110 A 172.64.32.202 A 173.245.58.202 A 108.162.192.202 AAAA 2803:f800:50::6ca2:c16e AAAA 2a06:98c1:50::ac40:216e AAAA 2606:4700:58::adf5:3b6e AAAA 2606:4700:50::adf5:3aca AAAA 2803:f800:50::6ca2:c0ca AAAA 2a06:98c1:50::ac40:20ca OPT"
"25","12.754286299","10.29.230.57","178.128.242.134","TCP","74","57960  >  3333 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3521624591 TSecr=0 WS=128"
"26","12.781588172","178.128.242.134","10.29.230.57","TCP","74","3333  >  57960 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3388037453 TSecr=3521624591 WS=128"
"27","12.781680131","10.29.230.57","178.128.242.134","TCP","66","57960  >  3333 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3521624619 TSecr=3388037453"
"28","12.781891616","10.29.230.57","178.128.242.134","TCP","535","57960  >  3333 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=469 TSval=3521624619 TSecr=3388037453"
"29","12.800084881","10.29.230.57","34.107.221.82","TCP","66","[TCP Dup ACK 5#1] 39852  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=786121807 TSecr=2521881332"
"30","12.800130683","10.29.230.57","34.107.221.82","TCP","66","[TCP Dup ACK 6#1] 39854  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=786121807 TSecr=4052911669"
"31","12.809387738","178.128.242.134","10.29.230.57","TCP","66","3333  >  57960 [ACK] Seq=1 Ack=470 Win=64128 Len=0 TSval=3388037492 TSecr=3521624619"
"32","12.809609681","178.128.242.134","10.29.230.57","TCP","554","3333  >  57960 [PSH, ACK] Seq=1 Ack=470 Win=64128 Len=488 TSval=3388037493 TSecr=3521624619"
"33","12.809645602","10.29.230.57","178.128.242.134","TCP","66","57960  >  3333 [ACK] Seq=470 Ack=489 Win=64128 Len=0 TSval=3521624647 TSecr=3388037493"
"34","12.813808655","34.107.221.82","10.29.230.57","TCP","66","[TCP Dup ACK 7#1] 80  >  39854 [ACK] Seq=1 Ack=2 Win=265 Len=0 TSval=4052921910 TSecr=786070710"
