,0
152,0.0003744542
180,0.0003891436
178,0.00043109426
151,0.0004893855
150,0.00050474016
177,0.00055373734
181,0.0005666145
179,0.00058918045
104,0.0007594849
107,0.0008200427
148,0.0010077836
160,0.001019377
149,0.0010722578
35,0.0010760383
21,0.0010879138
163,0.0011714632
135,0.0013231372
74,0.0013401392
165,0.0013776415
10,0.0013957515
111,0.0014053903
167,0.0016228465
166,0.0018023092
109,0.0019131383
43,0.0020280376
161,0.002031947
162,0.002031947
154,0.002035247
20,0.0021146727
136,0.002177444
128,0.0021843205
175,0.0022828553
168,0.0024018132
105,0.00256518
36,0.0026009255
176,0.0026076536
49,0.0026414657
185,0.0026499436
9,0.0027361184
153,0.002828847
56,0.0028867796
110,0.0029248595
78,0.0029419174
75,0.0031525074
173,0.0031594953
143,0.0031633542
112,0.0031981268
103,0.0032454901
77,0.0033385614
37,0.003431764
164,0.0035070227
108,0.003516691
54,0.003522712
133,0.003791681
34,0.003802348
182,0.003917476
127,0.003984743
76,0.0040448834
174,0.0040648202
11,0.0040662275
125,0.004199886
23,0.004199886
186,0.0043443968
24,0.0043521896
88,0.004377176
55,0.004377176
146,0.0045777825
137,0.0051048505
45,0.005558904
169,0.0057161422
113,0.0057471558
183,0.005920491
71,0.006127414
25,0.006130566
159,0.0061595393
90,0.0062183626
57,0.0062183626
22,0.006393665
96,0.007173084
95,0.007173084
94,0.007173084
73,0.007276891
42,0.007276891
126,0.0074243625
102,0.0074957204
184,0.007520999
141,0.0076131257
50,0.007818175
106,0.008277013
17,0.008520161
145,0.008543515
46,0.008901391
170,0.008909337
79,0.009324542
138,0.009524114
72,0.009884157
18,0.009884157
93,0.010091677
155,0.010094664
123,0.010288524
142,0.010465925
44,0.010555085
124,0.010740466
97,0.011118589
98,0.011118589
99,0.011118589
100,0.011118589
53,0.01117567
12,0.011181546
171,0.011193759
80,0.01129353
69,0.012722929
13,0.013073996
70,0.013496753
26,0.013843747
101,0.014513376
65,0.014549656
158,0.015300549
157,0.015300549
51,0.01712232
60,0.01814597
64,0.018213283
30,0.018977761
52,0.02011007
19,0.020850584
61,0.021357937
139,0.02205346
140,0.022093145
63,0.022206958
62,0.022206958
48,0.022332042
172,0.022630565
84,0.024402449
31,0.025391942
14,0.026186492
15,0.02740119
82,0.029384362
1,0.029384362
28,0.029384362
38,0.02963921
58,0.029937558
91,0.029937558
47,0.030129202
134,0.030509632
41,0.032597493
32,0.03430652
66,0.035361394
5,0.035394512
86,0.035394512
6,0.035424285
87,0.035424285
156,0.03676829
40,0.036984153
144,0.03900893
59,0.043237142
92,0.043237142
89,0.045789093
81,0.04786428
27,0.04786428
68,0.050703518
3,0.05327514
132,0.05609425
4,0.061507814
39,0.06349831
67,0.06376399
8,0.065440446
147,0.065613665
0,0.06937462
16,0.075695165
33,0.07712426
7,0.07712426
85,0.0864128
2,0.088347845
83,0.088347845
29,0.088347845
115,0.118902855
118,0.12534124
114,0.15532327
119,0.16489322
129,0.3011388
131,0.31702858
130,0.3892452
117,0.38999674
116,0.6288384
120,0.9227943
122,0.9714839
121,0.9729734
